IdEstado,Abr,Nombre,Capital,Ladas,Tot_mun,Hombres,Mujeres,Gobernador,Sexo,Partido,Inicio,Fin,Nacimiento,Zona,CostoVida,Urbanizacion,Turismo,Clima,PIB
1,Ags,AGUASCALIENTES,AGUASCALIENTES,449--,11,696683,728924,Martín Orozco Sandoval,1,PAN,2016-12-01,2021-09-30,1966-06-29,Occidente,Medio,Alta,Media,Templado,Medio
2,BC,BAJA CALIFORNIA,MEXICALI,686-664-646,5,1900589,1868431,Jaime Bonilla Valdez,1,MORENA,2019-11-01,2021-10-31,1960-06-09,Norte,Alto,Alta,Alta,Arido,Alto
3,BCS,BAJA CALIFORNIA SUR,LA PAZ,612-624-,5,405879,392568,Carlos Mendoza Davis,1,PAN,2015-09-10,2021-09-09,1970-04-21,Norte,Medio,Media,Alta,Tropical,Medio
4,Camp,CAMPECHE,CAMPECHE,981--,11,456939,471424,Carlos Miguel Aysa González,1,PRI,2019-06-13,2021-09-15,1950-04-21,Sur-Sureste,Bajo,Baja,Media,Tropical,Bajo
5,Coah,COAHUILA,SALTILLO,844-866-861,38,1563669,1583102,Rutilio Escandón,1,MORENA,2018-12-08,2024-12-07,1958-05-17,Norte,Medio,Alta,Baja,Arido,Medio
6,Col,COLIMA,COLIMA,312--,10,360622,370769,Javier Corral Jurado,1,PAN,2016-10-04,2021-09-07,1966-06-02,Occidente,Medio,Media,Media,Tropical,Medio
7,Chis,CHIAPAS,TUXTLA GUTIERREZ,961-962-963,118,2705947,2837881,Claudia Sheinbaum,0,MORENA,2018-12-05,2024-12-04,1962-06-24,Sur-Sureste,Bajo,Media,Alta,Tropical,Bajo
8,Chih,CHIHUAHUA,CHIHUAHUA,614-625-627,67,1853822,1888047,Miguel Ángel Riquelme Solís,1,PRI,2017-12-01,2023-11-30,1970-03-18,Norte,Medio,Alta,Media,Arido,Medio
9,DF,DISTRITO FEDERAL,CDMX,55--,16,4404927,4805017,José Ignacio Peralta,1,PRI,2016-02-11,2021-10-31,1970-12-01,Centro,Alto,Alta,Alta,Templado,Alto
10,Dgo,DURANGO,DURANGO,674-618-,39,904866,927784,José Rosas Aispuro,1,PAN,2016-09-15,2022-09-14,1961-08-15,Norte,Bajo,Media,Baja,Arido,Medio
11,Gto,GUANAJUATO,GUANAJUATO,473-464-466,46,2996454,3170480,Diego Sinhue Rodríguez Vallejo,1,PAN,2018-09-26,2024-09-25,1980-11-04,Occidente,Medio,Alta,Alta,Templado,Alto
12,Gro,GUERRERO,CHILPANCINGO,747-744-745,81,1700612,1840073,Héctor Astudillo Flores,1,PRI,2015-10-27,2021-10-26,1958-07-03,Sur-Sureste,Bajo,Media,Alta,Tropical,Bajo
13,Hgo,HIDALGO,PACHUCA,771-774-,84,1481379,1601462,Omar Fayad,1,PRI,2016-09-05,2022-09-04,1962-08-26,Centro,Medio,Alta,Media,Templado,Medio
14,Jal,JALISCO,GUADALAJARA,33-322-375,125,4098455,4249696,Enrique Alfaro Ramírez,1,MC,2018-12-06,2024-12-05,1973-06-20,Occidente,Medio,Alta,Alta,Templado,Alto
15,Mex,MEXICO,TOLUCA,722-729-721,125,8251295,8741123,Alfredo del Mazo Maza,1,PRI,2017-09-15,2023-09-14,1975-12-05,Centro,Alto,Alta,Alta,Templado,Alto
16,Mich,MICHOACAN,MORELIA,443-452-453,113,2306341,2442505,Silvano Aureoles Conejo,1,PRD,2015-10-01,2021-09-30,1965-08-23,Occidente,Medio,Media,Alta,Templado,Medio
17,Mor,MORELOS,CUERNAVACA,777-735-,33,950847,1020673,Cuauhtémoc Blanco,1,ES,2018-10-01,2024-09-30,1973-01-17,Centro,Medio,Media,Media,Templado,Medio
18,Nay,NAYARIT,TEPIC,311-323-,20,612278,623178,Antonio Echevarría García,1,PAN,2017-09-19,2021-09-18,1973-04-22,Occidente,Medio,Media,Alta,Tropical,Medio
19,NL,NUEVO LEON,MONTERREY,81-826-829,51,2890950,2893492,Jaime Rodríguez Calderón,1,IND,2015-10-04,2021-10-03,1957-12-28,Norte,Alto,Alta,Alta,Templado,Alto
20,Oax,OAXACA,OAXACA,951-953-954,570,1974843,2157305,Alejandro Murat Hinojosa,1,PRI,2016-12-01,2022-11-30,1975-08-04,Sur-Sureste,Bajo,Media,Alta,Tropical,Bajo
21,Pue,PUEBLA,PUEBLA,222-221-220,217,3160115,3423163,Miguel Barbosa Huerta,1,MORENA,2019-08-01,2024-12-01,1959-09-30,Centro,Medio,Alta,Alta,Templado,Medio
22,Qro,QUERETARO,QUERETARO,442-446-,18,1156820,1211647,Francisco Domínguez Servién,1,PAN,2015-10-01,2021-09-30,1966-08-11,Centro,Alto,Alta,Media,Templado,Alto
23,QRoo,QUINTANA ROO,CHETUMAL,983-984-998,8,936779,921206,Carlos Joaquín González,1,PRD,2016-09-25,2022-09-24,1965-01-06,Sur-Sureste,Alto,Alta,Alta,Tropical,Medio
24,SLP,SAN LUIS POTOSI,SAN LUIS POTOSI,444-448-,58,1372451,1449804,Juan Manuel Carreras,1,PRI,2015-09-26,2021-09-25,1962-04-24,Centro,Medio,Media,Media,Templado,Medio
25,Sin,SINALOA,CULIACAN,667-669-696,18,1494815,1532128,Quirino Ordaz Coppel,1,PRI,2017-01-01,2022-12-31,1962-10-24,Norte,Medio,Alta,Alta,Tropical,Medio
26,Son,SONORA,HERMOSILLO,662-631-642,72,1472197,1472643,Claudia Pavlovich Arellano,0,PRI,2015-09-13,2021-09-12,1969-06-17,Norte,Medio,Alta,Media,Arido,Medio
27,Tab,TABASCO,VILLAHERMOSA,993-914-,17,1173671,1228927,Adán Augusto López Hernández,1,MORENA,2019-01-01,2024-09-30,1963-09-24,Sur-Sureste,Medio,Media,Alta,Tropical,Medio
28,Tamps,TAMAULIPAS,CIUDAD VICTORIA,834-899-868,43,1736140,1791595,Francisco Javier García Cabeza de Vaca,1,PAN,2016-10-01,2021-09-30,1967-09-17,Norte,Medio,Alta,Media,Templado,Medio
29,Tlax,TLAXCALA,TLAXCALA,246--,60,649894,693083,Marco Antonio Mena Rodríguez,1,PRI,2017-01-01,2021-08-30,1968-07-09,Centro,Bajo,Media,Baja,Templado,Bajo
30,Ver,VERACRUZ,XALAPA,228-229-271,212,3871774,4190805,Cuitláhuac García Jiménez,1,MORENA,2018-12-01,2024-11-30,1968-04-18,Sur-Sureste,Medio,Alta,Alta,Tropical,Medio
31,Yuc,YUCATAN,MERIDA,999-986-,106,1140279,1180619,Mauricio Vila Dosal,1,PAN,2018-10-01,2024-09-30,1980-03-30,Sur-Sureste,Medio,Alta,Alta,Tropical,Medio
32,Zac,ZACATECAS,Zacatecas,492-478-,58,791058,831080,Alejandro Tello Cristerna,1,PRI,2016-09-12,2021-09-11,1971-05-30,Occidente,Bajo,Media,Baja,Arido,Medio
